Index,X,Y,Z,NormalX,NormalY,NormalZ,GroupID
     251 ,44.674,-74.852,114.179,0.55525,-0.75422,0.35051,0
     252 ,67.078,-17.211,106.966,0.95994,0.23674,-0.14988,0
     253 ,-21.144,-21.628,114.774,0.24769,0.70797,-0.66138,0
     254 ,23.859,-30.335,96.900,0.09079,0.69954,-0.70880,0
     255 ,47.406,-32.260,88.657,-0.09555,0.99511,-0.02485,0
     256 ,66.973,-22.826,108.580,0.42986,-0.87685,0.21528,0
     257 ,64.428,-23.551,108.712,0.21290,-0.61972,0.75539,0
     258 ,-17.787,-21.390,118.061,0.48622,0.84870,-0.20807,0
     259 ,19.754,-65.430,93.769,-0.03383,-0.39183,-0.91942,0
     260 ,56.647,-17.664,106.752,-0.32050,0.83597,0.44546,0
     261 ,-6.015,-43.795,126.636,-0.47505,0.18935,0.85935,0
     262 ,61.805,-16.543,108.381,-0.35471,0.57829,0.73468,0
     263 ,62.219,-14.986,106.901,-0.39793,0.80422,0.44145,0
     264 ,51.187,-59.111,130.258,0.68439,-0.61611,0.38990,0
     265 ,-22.663,-42.468,101.577,-0.40086,0.59284,-0.69846,0
     266 ,62.657,-14.342,103.539,-0.32969,0.88397,-0.33153,0
     267 ,49.250,-32.421,89.587,0.34769,0.92528,0.15154,0
     268 ,-9.504,-25.688,114.265,0.20669,0.97131,-0.11759,0
     269 ,66.028,-15.351,106.358,0.70569,0.70843,0.01137,0
     270 ,-18.223,-25.685,122.871,0.23076,0.37607,0.89740,0
     271 ,23.585,-45.382,92.396,0.08717,0.07391,-0.99345,0
     272 ,67.936,-21.566,108.758,0.95750,-0.18504,-0.22127,0
     273 ,37.652,-77.874,103.491,0.31528,-0.93026,-0.18768,0
     274 ,66.728,-16.313,106.502,0.91828,0.37914,-0.11410,0
     275 ,-19.782,-42.350,83.430,-0.48615,0.77754,0.39886,0
     276 ,67.232,-17.536,107.535,0.93416,0.24795,0.25664,0
     277 ,-21.497,-52.199,83.781,-0.99693,0.00925,0.07770,0
     278 ,67.931,-20.520,108.610,0.95585,0.06049,-0.28756,0
     279 ,67.770,-22.260,108.944,0.82093,-0.56813,0.05741,0
     280 ,65.605,-15.292,107.955,0.50907,0.72281,0.46732,0
     281 ,22.711,-33.828,94.531,0.00801,0.34925,-0.93699,0
     282 ,26.560,-44.575,92.650,-0.02538,0.06070,-0.99783,0
     283 ,-23.011,-44.149,100.135,-0.61345,0.49558,-0.61488,0
     284 ,-9.226,-43.959,124.964,-0.43906,0.01053,0.89840,0
     285 ,44.515,-69.189,96.355,0.45623,-0.55162,-0.69826,0
     286 ,65.918,-21.926,109.740,0.13644,-0.45395,0.88052,0
     287 ,-9.624,-33.508,99.137,-0.33114,0.60658,-0.72277,0
     288 ,52.096,-56.330,132.959,0.72597,-0.56901,0.38625,0
     289 ,-11.075,-25.227,114.497,0.28987,0.94188,-0.16980,0
     290 ,50.898,-49.298,86.951,0.58901,-0.73687,-0.33180,0
     291 ,-20.211,-49.695,76.471,-0.11343,-0.01700,-0.99340,0
